policy,min_propensity,q_gap_threshold,val_policy_value_dr,val_policy_value_ips,val_policy_value_plugin,val_override_rate,val_fallback_rate,val_low_support_rate,val_match_rate,val_eco_rate,test_policy_value_dr,test_policy_value_ips,test_policy_value_plugin,test_override_rate,test_fallback_rate,test_low_support_rate,test_match_rate,test_eco_rate,is_default,selected_for_main_paper
causal_no_vehicle_id_fqi,0.1,0.25,-4.483664552108941,-4.327245670225209,-4.726384852665562,0.3315706338850354,0.2841151019847538,0.016070324840326902,0.6684293661149646,0.4958450655861548,-4.66143594689873,-4.409819733648702,-4.834153913436259,0.3373071528751753,0.2802244039270687,0.016129032258064516,0.6626928471248247,0.48401122019635345,0,0
causal_no_vehicle_id_fqi,0.1,0.5,-4.4958590928252535,-4.205756102402844,-4.728696475710996,0.23665957008447222,0.49186182267701395,0.016070324840326902,0.7633404299155278,0.4957077123823913,-4.671506249453725,-4.285090076668377,-4.837642107639598,0.24088359046283309,0.48997194950911643,0.016129032258064516,0.7591164095371669,0.4917952314165498,0,0
causal_no_vehicle_id_fqi,0.15,0.0,-4.469348698208502,-4.577920887779925,-4.730331837978307,0.44289540553533413,0.03715404161802074,0.03715404161802074,0.5571045944646659,0.49769933383696174,-4.666756782351499,-4.707514750786471,-4.8392580363059725,0.44333800841514726,0.042356241234221596,0.042356241234221596,0.5566619915848527,0.4964936886395512,0,0
causal_no_vehicle_id_fqi,0.15,0.25,-4.486983212226134,-4.353844677228739,-4.731307395393585,0.3190028157406771,0.2990866011949729,0.03715404161802074,0.6809971842593229,0.5060778792665339,-4.678664258038851,-4.449734837497247,-4.840521166289802,0.320687237026648,0.29943899018232817,0.042356241234221596,0.6793127629733521,0.4985273492286115,0,0
causal_no_vehicle_id_fqi,0.15,0.5,-4.5012278777577635,-4.23277742272822,-4.7335654553245545,0.22711352242291052,0.5029187555799739,0.03715404161802074,0.7728864775770895,0.5040175812100818,-4.690605372681268,-4.323335920580757,-4.84412122087093,0.22819074333800843,0.5044880785413745,0.042356241234221596,0.7718092566619916,0.5032258064516129,0,0
minimal_fqi,0.05,0.0,-4.52467787044774,-4.556916743829745,-4.761452013487164,0.48698578394341047,0.0020602980564521666,0.0020602980564521666,0.5130142160565895,0.4597898495982419,-4.815492292742973,-4.7976242405444465,-4.8677582198738,0.4759467040673212,0.0019635343618513326,0.0019635343618513326,0.5240532959326788,0.46332398316970547,0,0
minimal_fqi,0.05,0.25,-4.518672460158412,-4.314197913378449,-4.764374928376787,0.32497768010438843,0.3222306160291189,0.0020602980564521666,0.6750223198956116,0.4775770894856122,-4.776676737536632,-4.479698019318087,-4.866929696491996,0.31984572230014024,0.3216690042075736,0.0019635343618513326,0.6801542776998597,0.4780504908835905,0,0
minimal_fqi,0.05,0.5,-4.532118718897528,-4.2487845286830925,-4.767572343207817,0.2173614449557036,0.5493441384520293,0.0020602980564521666,0.7826385550442964,0.47860723851383835,-4.810388211039625,-4.423082043165765,-4.870075467039215,0.2129032258064516,0.5507012622720897,0.0019635343618513326,0.7870967741935484,0.4826086956521739,1,1
minimal_fqi,0.1,0.0,-4.529974289992697,-4.576626819519797,-4.764005617661738,0.47496737861410615,0.015383558821509512,0.015383558821509512,0.5250326213858938,0.4718082549275462,-4.814718888970452,-4.8160418078319935,-4.87144985745014,0.4644460028050491,0.014936886395511922,0.014936886395511922,0.5355539971949509,0.47482468443197756,0,0
minimal_fqi,0.1,0.25,-4.524445237165924,-4.334340015517208,-4.766717319273227,0.3167364878785798,0.33136460407939017,0.015383558821509512,0.6832635121214202,0.48581828171142094,-4.778007859444644,-4.501084067317124,-4.870547990667147,0.3110799438990182,0.3314866760168303,0.014936886395511922,0.6889200561009817,0.4868162692847125,0,0
minimal_fqi,0.1,0.5,-4.534503334298024,-4.264462962057902,-4.7698168654292346,0.21124922738822882,0.5561431220383215,0.015383558821509512,0.7887507726117712,0.4847194560813131,-4.813838348974234,-4.4432840314507525,-4.873607614012327,0.205820476858345,0.5585553997194951,0.014936886395511922,0.794179523141655,0.4896914446002805,0,0
minimal_fqi,0.15,0.0,-4.544641492898637,-4.614887344090113,-4.767017018849927,0.45450175125334796,0.0399011056932903,0.0399011056932903,0.545498248746652,0.488427992582927,-4.826402525310731,-4.845077553071076,-4.876077736758411,0.441164095371669,0.04249649368863955,0.04249649368863955,0.558835904628331,0.49460028050490884,0,0
minimal_fqi,0.15,0.25,-4.539385052540994,-4.371405172780845,-4.769468407995173,0.30396263992857636,0.3468855161046631,0.0399011056932903,0.6960373600714237,0.49625712519744525,-4.787549351741584,-4.532149247379864,-4.875037941257241,0.2952314165497896,0.3502805049088359,0.04249649368863955,0.7047685834502104,0.5005610098176718,0,0
minimal_fqi,0.15,0.5,-4.548464493852581,-4.295321459317824,-4.772724624233144,0.20101641370784973,0.568367557173271,0.0399011056932903,0.7989835862921503,0.49330403131653044,-4.826581528993335,-4.473893912491982,-4.877947192358357,0.19474053295932678,0.5717391304347826,0.04249649368863955,0.8052594670406732,0.49922861150070125,0,0
