scope,segment,policy,reward_name,metric,point_estimate,ci_low,ci_high,bootstrap_reps
overall,,causal_fqi,primary,estimated_on_time,0.8182224757545269,0.8139561786163524,0.8219319320262708,500
segment,high_traffic,causal_fqi,primary,policy_value_plugin,-7.482467706944415,-7.665026792230936,-7.285916847398039,500
segment,high_traffic,causal_fqi,primary,policy_value_ips,-6.760437854933763,-7.138085142175783,-6.388580777326699,500
segment,high_traffic,causal_fqi,primary,policy_value_dr,-7.236951927687293,-7.634383795298753,-6.780801955024251,500
segment,high_traffic,causal_fqi,primary,estimated_lateness_min,4.273995672221307,4.078021694405484,4.447174288865174,500
segment,high_traffic,causal_fqi,primary,estimated_co2_kg,3.9850091811426864,3.9663447595645636,4.004429808982901,500
segment,high_traffic,causal_fqi,primary,estimated_crash,0.12779532866199345,0.12637370734568953,0.12935480520109827,500
segment,high_traffic,causal_fqi,primary,estimated_near_miss,0.5667584559373171,0.5637163594553458,0.5697079455530268,500
segment,high_traffic,causal_fqi,primary,estimated_on_time,0.6831566547915313,0.6739810776000617,0.6933201199098782,500
segment,rain_or_event,causal_fqi,primary,policy_value_plugin,-5.617653778913073,-5.727042173719122,-5.5085263786354,500
segment,rain_or_event,causal_fqi,primary,policy_value_ips,-4.924375986490075,-5.1390600108597075,-4.704201789530047,500
segment,rain_or_event,causal_fqi,primary,policy_value_dr,-5.374260959828663,-5.651694074444633,-5.107886466835057,500
segment,rain_or_event,causal_fqi,primary,estimated_lateness_min,2.609083732201865,2.5045717100057048,2.7158737401452244,500
segment,rain_or_event,causal_fqi,primary,estimated_co2_kg,3.7786874400278356,3.7665066435095618,3.790522621876915,500
segment,rain_or_event,causal_fqi,primary,estimated_crash,0.11738932942693499,0.11616892851073103,0.11859355256928149,500
segment,rain_or_event,causal_fqi,primary,estimated_near_miss,0.5394696322181455,0.5370213689670879,0.5422146573922403,500
segment,rain_or_event,causal_fqi,primary,estimated_on_time,0.7801207948748342,0.7742145298189297,0.7860211471169557,500
segment,tight_window,causal_fqi,primary,policy_value_plugin,-8.16132107458953,-8.343572144287503,-7.987057871274976,500
segment,tight_window,causal_fqi,primary,policy_value_ips,-7.819762455457439,-8.26309990766031,-7.419602668628617,500
segment,tight_window,causal_fqi,primary,policy_value_dr,-8.326888202023227,-8.813215367337841,-7.86313446802209,500
segment,tight_window,causal_fqi,primary,estimated_lateness_min,5.2606973879026055,5.0867651048205875,5.434720337297331,500
segment,tight_window,causal_fqi,primary,estimated_co2_kg,3.735350907362308,3.717499268428221,3.7526987727892513,500
segment,tight_window,causal_fqi,primary,estimated_crash,0.10972072605335945,0.10823781838243023,0.11116212051804582,500
segment,tight_window,causal_fqi,primary,estimated_near_miss,0.5281731223404343,0.5247803285221541,0.5322445532186548,500
segment,tight_window,causal_fqi,primary,estimated_on_time,0.5376778631542938,0.5298782298303245,0.5459770975704664,500
segment,late_day,causal_fqi,primary,policy_value_plugin,-4.980151600628794,-5.102810273156222,-4.8492068936816315,500
segment,late_day,causal_fqi,primary,policy_value_ips,-4.348050112038198,-4.606785753232366,-4.098381878370798,500
segment,late_day,causal_fqi,primary,policy_value_dr,-4.8553238949543545,-5.204603724737308,-4.514578528473269,500
segment,late_day,causal_fqi,primary,estimated_lateness_min,2.099131036762246,1.9780862401990331,2.2097560637842584,500
segment,late_day,causal_fqi,primary,estimated_co2_kg,3.7423529515137934,3.7249329872771404,3.757085590095783,500
segment,late_day,causal_fqi,primary,estimated_crash,0.10831699400603298,0.10703646704000148,0.10971173802126956,500
segment,late_day,causal_fqi,primary,estimated_near_miss,0.5246900167517294,0.5211242679541433,0.528127878466056,500
segment,late_day,causal_fqi,primary,estimated_on_time,0.8134334069295464,0.8066824190382498,0.8206408510388854,500
overall,,causal_no_history_fqi,primary,policy_value_plugin,-4.832476711415686,-4.906387708686989,-4.771291981772759,500
overall,,causal_no_history_fqi,primary,policy_value_ips,-4.286738200150217,-4.4281710260596,-4.1474788993607845,500
overall,,causal_no_history_fqi,primary,policy_value_dr,-4.686701593289247,-4.862471551008446,-4.501942391128828,500
overall,,causal_no_history_fqi,primary,estimated_lateness_min,1.9836299382798521,1.9255757404752696,2.051510689918096,500
overall,,causal_no_history_fqi,primary,estimated_co2_kg,3.734882720579832,3.7265504770931885,3.7435366001788175,500
overall,,causal_no_history_fqi,primary,estimated_crash,0.10622706618693789,0.10558552713102975,0.10698151405155916,500
overall,,causal_no_history_fqi,primary,estimated_near_miss,0.5197997835752444,0.517852876562902,0.5215792431392672,500
overall,,causal_no_history_fqi,primary,estimated_on_time,0.8181112025739162,0.813856191663697,0.8219318022242551,500
segment,high_traffic,causal_no_history_fqi,primary,policy_value_plugin,-7.479277656248506,-7.676448085875111,-7.291465223550988,500
segment,high_traffic,causal_no_history_fqi,primary,policy_value_ips,-6.758151290800401,-7.138741381554658,-6.368139354366082,500
